DrugName,,B,,D,,,E,,,,L,,M,N,,,,R,,
MAGNESIUM CITRATE,,400 MG,,GEL 180.00,,,NOW FOODS,,,,0,,$11.24,$24.00,,,,Winston Salem Sales Tax,,
MAG BIGLYCINATE,,,,8 OZ POWD,,,NOW FOODS,,,,0,,$7.69,$18.00,,,,Winston Salem Sales Tax,,
TRI-CHROMIUM,,500MCG,,180CT,,,NOW FOODS,,,,0,,$6.69,$18.00,,,,Winston Salem Sales Tax,,
TRI-CROMIUM,,500 MCG,,90 CP,,,NOW FOODS,,,,0,,$3.68,$10.00,,,,Winston Salem Sales Tax,,
IRON,,18 MG,,120 CAP,,,NOW FOODS,,,,0,,$4.49,$10.00,,,,Winston Salem Sales Tax,,
POTASSIUM,,99MG,,100TAB,,,NOW FOODS,,,,0,,$3.99,$7.00,,,,Winston Salem Sales Tax,,
SELENIUM,,200MCG,,90 CAP,,,NOW FOODS,,,,0,,$4.99,$9.00,,,,Winston Salem Sales Tax,,
SELENIUM,,200MCG,,180 V CAP,,,NOW FOODS,,,,0,,$6.69,$17.00,,,,Winston Salem Sales Tax,,
ZINC,,50 MG,,100 TABS,,,NOW FOODS,,,,0,,$3.50,$8.00,,,,Winston Salem Sales Tax,,
FULL MINERAL,,,,120 CAPS,,,NOW FOODS,,,,0,,$8.99,$15.00,,,,Winston Salem Sales Tax,,
FISH OIL,,1400 MG,,7 FL OZ,,,NOW FOODS,,,,0,,$11.39,$20.00,,,,Winston Salem Sales Tax,,
OMEGA 3,,,,LIQUID 16.9OZ,,,NOW FOODS,,,,0,,$21.59,$33.00,,,,Winston Salem Sales Tax,,
BORAGE OIL,,1000 MG,,60 CAP,,,NOW FOODS,,,,0,,$8.49,$15.00,,,,Winston Salem Sales Tax,,
COCONUT OIL 12 OZ.,,,,,,,NOW FOODS,,,,0,,$5.75,$8.00,,,,Winston Salem Sales Tax,,
SUPER PRIMROSE,,1300 MG,,120 SGELS,,,NOW FOODS,,,,0,,$10.12,$23.00,,,,Winston Salem Sales Tax,,
POLICOSANOL,,20 MG,,90 VCAP,,,NOW FOODS,,,,0,,$13.99,$24.00,,,,Winston Salem Sales Tax,,
PUMPKIN SEED OIL,,"1,000 MG",,100 CT,,,NOW FOODS,,,,0,,$7.49,$13.00,,,,Winston Salem Sales Tax,,
OMEGA369,,1200MG,,GEL 180.00,,,NOW FOODS,,,,0,,$12.05,$26.00,,,,Winston Salem Sales Tax,,
BEEF BROTH POWDER 1.2LBS,,,,,,,NOW FOODS,,,,0,,$21.59,$34.00,,,,Winston Salem Sales Tax,,
CREATINE,,,,120 CAP,,,NOW FOODS,,,,0,,$6.99,$12.00,,,,Winston Salem Sales Tax,,
MICRONIZED CREATINE 1.1LB,,,,,,,EMERSON,,,,0,,$12.64,$22.00,,,,Winston Salem Sales Tax,,
MSM,,1000 MG,,240 CAPS,,,NOW FOODS,,,,0,,$10.00,$22.00,,,,Winston Salem Sales Tax,,
PEA PROTEIN 24GR 12 0Z,,,,,,,NOW FOODS,,,,0,,$6.29,$12.50,,,,Winston Salem Sales Tax,,
PEA PROTEIN NATURAL 2LBS,,,,,,,NOW FOODS,,,,0,,$16.79,$27.00,,,,Winston Salem Sales Tax,,
D-RIBOSE 4 OZ,,,,5GR POWDER,,,NOW FOODS,,,,0,,$13.99,$22.00,,,,Winston Salem Sales Tax,,
TESTOJACK,,300MG,,60CAP,,,NOW FOODS,,,,0,,$15.00,$32.00,,,,Winston Salem Sales Tax,,
LECITHIN,,1200MG,,200 GELS,,,NOW FOODS,,,,0,,$7.49,$12.50,,,,Winston Salem Sales Tax,,
ASTAXANTHIN,,12 MG,,30 CAP,,,NOW FOODS,,,,0,,$16.74,$30.00,,,,Winston Salem Sales Tax,,
SUNFLOWER LECITHIN,,,,POWDER,,,NOW FOODS,,,,0,,$7.91,$18.00,,,,Winston Salem Sales Tax,,
PHOSPHATIDYL SERINE,,150MG,,60 CAP,,,NOW FOODS,,,,0,,$16.79,$30.00,,,,Winston Salem Sales Tax,,
LIVER REFRESH,,,,180 V CAPS,,,NOW FOODS,,,,0,,$14.73,$38.00,,,,Winston Salem Sales Tax,,
PROPOLIS,,,,90 SOFTGELS,,,NOW FOODS,,,,0,,$12.49,$15.00,,,,Winston Salem Sales Tax,,
CHLORELLA TABS,,500 MG,,200CT,,,NOW FOODS,,,,0,,$7.49,$17.00,,,,Winston Salem Sales Tax,,
CHLORELLA 4 OZ,,,,POWDER,,,NOW FOODS,,,,0,,$8.49,$16.00,,,,Winston Salem Sales Tax,,
KELP,,150 MCG,,200 TABS,,,NOW FOODS,,,,0,,$4.61,$10.00,,,,Winston Salem Sales Tax,,
SPIRULINA,,500MG,,100 TAB,,,NOW FOODS,,,,0,,$3.49,$6.50,,,,Winston Salem Sales Tax,,
D-MANNOSE,,2GR,,3 OZ POWDER,,,NOW FOODS,,,,0,,$10.71,$26.00,,,,Winston Salem Sales Tax,,
D-MANNOSE,,500MG,,120 VCAPS,,,NOW FOODS,,,,0,,$10.71,$28.00,,,,Winston Salem Sales Tax,,
BERRYDOPHILUS,,10 BILLION,,50 CHEWS,,,NOW FOODS,,,,0,,$8.37,$20.00,,,,Winston Salem Sales Tax,,
PROBIOTIC,,50 BILLION,,50 CAP,,,NOW FOODS,,,,0,,$16.74,$40.00,,,,Winston Salem Sales Tax,,
PROBIOTIC,,100 BILLION,,30 CAP,,,NOW FOODS,,,,0,,$15.07,$35.00,,,,Winston Salem Sales Tax,,
SACC BOULARDI,,,,60 VCAP,,,NOW FOODS,,,,0,,$9.99,$16.00,,,,Winston Salem Sales Tax,,
BROMELAIN,,500 MG,,120 CAPS,,,NOW FOODS,,,,0,,$14.99,$27.00,,,,Winston Salem Sales Tax,,
NOW SACC BOULARDI,,500 MG,,120VCAP,,,NOW FOODS,,,,0,,$18.99,$30.00,,,,Winston Salem Sales Tax,,
SUPER ENZYMES,,,,90 CAPS,,,NOW FOODS,,,,0,,$8.24,$18.00,,,,Winston Salem Sales Tax,,
SUPER ENZYMES,,,,180 CAPS,,,NOW FOODS,,,,0,,$15.39,$32.00,,,,Winston Salem Sales Tax,,
PAPAYA ENZYME,,,,100 CHEWS,,,NOW FOODS,,,,0,,$4.19,$10.00,,,,Winston Salem Sales Tax,,
SERRAPEPTASE,,,,60 V CAPS,,,NOW FOODS,,,,0,,$8.90,$19.00,,,,Winston Salem Sales Tax,,
ALOE VERA SOFTGELS,,,,100 CT,,,NOW FOODS,,,,0,,$6.99,$12.00,,,,Winston Salem Sales Tax,,
